bloom_level,source text,question,reference_answer,Comprehensive response,Competent response,Partial response,Limited response,student_answer,student_answer_rubric_category,feedback
Recognise (remembering),"The pancreas, illustrated in Figure 28.19, is an elongated organ that is located between the stomach and the proximal portion of the small intestine. It contains both exocrine cells that excrete digestive enzymes and endocrine cells that release hormones. It is sometimes referred to as a heterocrine gland because it has both endocrine and exocrine functions.",Name a gland in the body that has both exocrine and endocrine function,The Pancreas or liver or kidney or testes or ovaries,The answer includes pancreas or liver or kidney or testes or ovaries with correct spelling,The answer includes pancreas or liver or kidney or testes or ovaries but spelling is incorrect,incorrect or irrelevant gland named,incorrect or irrelevant gland named,The thyroid gland is a gland in the body that has both exocrine and endocrine functions because it releases hormones into the blood and also helps with digestion.,Partial response,You have named a gland however it is not one of the glands in the body that is both endocrine and exocrine.  The function is also incorrect.  Please refer to the relevant section of your textbook to review
Identify (remembering),"In eukaryotes, the genome consists of several double-stranded linear DNA molecules (Figure 10.3). Each species of eukaryotes has a characteristic number of chromosomes in the nuclei of its cells. Human body cells have 46 chromosomes, while human gametes (sperm or eggs) have 23 chromosomes each. A typical body cell, or somatic cell, contains two matched sets of chromosomes, a configuration known as diploid. The letter n is used to represent a single set of chromosomes; therefore, a diploid organism is designated 2n. Human cells that contain one set of chromosomes are called gametes, or sex cells; these are eggs and sperm, and are designated 1n, or haploid.",Name a human cell that is haploid,Sperm cell or male gamete or egg cell or female gamete,The answer includes sperm cell or male gamete or egg cell or female gamete with correct spelling,The answer includes sperm cell or male gamete or egg cell or female gamete but spelling is incorrect,incorrect or irrelevant human cell named,incorrect or irrelevant human cell named,"A human gamete, like a sperm cell or an egg cell, is haploid because it contains only one set of chromosomes.",Comprehensive response,You have named both a sperm cell and an egg cell.  Both are the correct answer.  You have also clarified why they are haploid
Recognise (remembering),"https://openstax.org/books/biology-ap-courses/pages/7-4-oxidative-phosphorylation?query=mitochondria%20surface%20area&target=%7B%22index%22%3A1%2C%22type%22%3A%22search%22%7D#fs-id1167065885695:~:text=The%20electron%20transport%20chain%20(ETC,area%20available%20for%20chemical%20reactions.",What is the significance of the internal structure of the mitonchodria,"The mitochodria contains an inner folded membrane, called the cristae, which increases the surface area within the mitochodria which enables more energy production using the electron transport chain and ATP synthase.","The answer relates the internal structure of the mitochondria as having an increased surface area due to the infolding nature of the internal membrane or cristae, to the increased opportunity for energy production via the electron transport chain and ATP syntase",The answer relates the internal structure of the mitochondria as having an increased surface area but may not explain that this is a result of the infolding nature of the internal membrane or cristae or that the structure enables more energy production via the electron transport chain and ATP syntase,The answer mentions that there is an increased surface area within the mitochondria but doesnt state how or why this is relevant OR the answer says that the internal structure enables more energy production but doesnt describe the internal structure,The answer does not refer to internal strucure of the mitochondria or the significance that this has to respiration,The internal structure of the mitochondria is important because it has folds called cristae that help increase the surface area inside. This lets more reactions happen that make energy for the cell. The structure also helps separate different parts so that the reactions can be more efficient. Mitochondria are known as the powerhouse of the cell because of this.,Competent response,"You have described and named the internal structure of the mitochondria correctly.  You also explained that the nature of the increased surface area allows for more reactions to occur, making more energy for the cell.  You could improve this answer by including the reactions that occur on this membrane ie contains enzymes and proteins for the electron transport chain and ATP synthase.  Please refer to the relevant section of your textbook to review"
Classify (understanding),"https://openstax.org/books/biology-ap-courses/pages/29-chapter-summary?query=classification%20of%20joints&target=%7B%22index%22%3A0%2C%22type%22%3A%22search%22%7D#fs-idp124844720:~:text=and%20Skeletal%20Movement-,The%20structural%20classification%20of%20joints%20divides%20them%20into%20bony%2C%20fibrous%2C%20cartilaginous,the%20joint%3A%20planar%2C%20hinge%2C%20pivot%2C%20condyloid%2C%20saddle%2C%20and%20ball%2Dand%2Dsocket.,-29.4%20Muscle%20Contraction",Classify joints into different types,"Joints can be classified as immovable, eg the skull, slightly moveable, eg the upper vertebrae or sternum or freely moveable eg synovial joints such as hinge joints eg elbow and knee or ball and socket joints eg hip and shoulder",The answer correctly classifies joints in the human skeleton system into Immovable and gives a correct example eg skull.  Slightly moveable and gives a correct example eg vertebrae.  Freely moveable and gives a correct example eg synovial joints such as hinge joints or ball and socket joints,"Lists the joints as immovable, moveable or freely moveable but does not give examples or gives examples but does not classify the examples according to their names",Names 2 joint types or gives examples of two joint types.  Needs to include the third joint type,Names 1 or no joint type or does not correctly name any example of joint type.  There are 3 joint types that should be included in this answer.,"Joints are the parts where bones meet and they are mainly two types, movable and immovable. Movable joints are like the knee and elbow, and immovable joints are like the skull. Joints help the body to move in different directions.",Partial response,You have named two types of joints correctly.  However you did not mention the third type of joint which is a slightly moveable joint.  Examples of this include the sternum and upper vertebrae.  Please refer to the relevant section of your textbook to review
Compare (understanding),https://openstax.org/books/biology-ap-courses/pages/16-chapter-summary?query=epigenetic&target=%7B%22index%22%3A0%2C%22type%22%3A%22search%22%7D#fs-id1899262,Compare genetic and epigenetic mechanisms,"Genetic mechanisms involve permanent changes in the DNA sequence, while epigenetic mechanisms regulate gene activity without altering the sequence, often through reversible modifications such as DNA methylation or histone modification.  The DNA code remains stable throughout a persons life, the epigenome is stable yet flexible and can respond to stressors such as diet and stress, resulting in the switching on or off of genes.  When the DNA of a cell is replicated, the epigenetic tags are also replicated.  When gametes are produced, most of these tags are removed however it is thought that some of these tags can be passed from generation to generation.",The answer compares genetic and epigenetic mechanisms referencing permanent changes that can alter the genome for genetic mechanisms but reversible modifications that regulate gene activity without altering the gene sequence for epigenetic mechanisms through DNA methylation or histone modification.  The answer also refers to the stability of the DNA code throughout a persons life but that the epigenome can switch on and off genes in response to environmental stressors such as diet and stress.  The answer also refers to how epigenetic tags are also replicated when the DNA of a cell is replicated however can be removed when gametes are produced but that some of these tags can be passed down through generations.,The answer compares genetic and epigenetic mechanisms referencing permanent changes that can alter the genome for genetic mechanisms but reversible modifications that regulate gene activity without altering the gene sequence for epigenetic mechanisms through DNA methylation or histone modification.  The answer may or may not also refers to the stability of the DNA code throughout a persons life but that the epigenome can switch on and off genes in response to environmental stressors such as diet and stress.  The answer may or may not refer to how epigenetic tags are also replicated when the DNA of a cell is replicated however can be removed when gametes are produced but that some of these tags can be passed on through generations.,The answer compares genetic and epigenetic mechanism but only references one example of how they differ.  Or The answer may or may not describe the mechanics of genetic and epigenetic genomes.  Or the answer may reference the stability of the DNA code during cell replication and how epigenetic tags are also replicated when the DNA of a cell is replicated but when gametes are produced that some of the tags may be removed.,The answer does not compare genetic and epigenetic mechanisms and demonstrates a poor understanding of their relevance to each other.  ,"Genetic mechanisms involve changes to the actual DNA sequence, like mutations, which can be inherited and directly affect the function of genes. Epigenetic mechanisms, on the other hand, don't change the DNA sequence itself but instead involve modifications like DNA methylation or histone modification that influence how genes are turned on or off. While genetic changes are permanent unless reversed by another mutation, epigenetic changes can be reversible and are often influenced by environmental factors. Both mechanisms play important roles in how traits are expressed and can contribute to diseases, but they operate at different levels of gene regulation.",Competent response,This is a good answer however to move up to the next level it would be important to demonstrate understanding of what happens to cellular DNA and epigenetic tags during cellular DNA replication as well as what happens to epigenetic tags during gamete production
Describe (understanding),https://openstax.org/books/biology-ap-courses/pages/3-5-nucleic-acids?query=tRNA&target=%7B%22index%22%3A0%2C%22type%22%3A%22search%22%7D#fs-id1167067199541:~:text=Transfer%20RNA%20(tRNA)%20is%20one%20of%20the%20smallest%20of%20the%20four%20types%20of%20RNA%2C%20usually%2070%E2%80%9390%20nucleotides%20long.%20It%20carries%20the%20correct%20amino%20acid%20to%20the%20site%20of%20protein%20synthesis.%20It%20is%20the%20base%20pairing%20between%20the%20tRNA%20and%20mRNA%20that%20allows%20for%20the%20correct%20amino%20acid%20to%20be%20inserted%20in%20the%20polypeptide%20chain.,Describe the role of tRNA.,"The tRNA molecules have a distinctive folded structure that forms a 3 leaf clover shape. tRNA carries amino acids to the ribosome, matching its anticodon to the mRNA codon and binding to it.  The amino acid it is carrying then detaches from the tRNA molecule and joins the growing polypeptide chain.",The answer acurately describes the structure of tRNA and then continues to describe accurately how the tRNA is involved in the construction of proteins within the ribosome through the matching of its anticodon with the mRNA and the detachment and joining of the amino acid it carries to the growing polypeptide chain.,The answer either describes the structure of tRNA but does not describe how the tRNA is involved in the construction of proteins within the ribosome through the matching of its anticodon with the mRNA and the detachment and joining of the amino acid it carries to the growing polypeptide chain.  Or the answer describes the construction of proteins using tRNA but does not describe the structure of tRNA.,The answer description for the structure of tRNA is not accurate but shows some understanding however does not describe how the tRNA is involved in the construction of proteins within the ribosome through the matching of its anticodon with the mRNA and the detachment and joining of the amino acid it carries to the growing polypeptide chain.  Or the answer poorly describes the construction of proteins using tRNA but does describe the structure of tRNA.,The answer description demonstrates poor understanding of the structure or role of tRNA.  ,tRNA is a molecule in cells that helps make proteins. It brings amino acids to the ribosome during protein synthesis. tRNA matches up with the mRNA to make sure the right amino acids are added.,Competent response,The answer demonstrates an understanding for the role of tRNA.  To move to the next level the answer should include a description of the structure of tRNA and also include more technical terminology when describing how the tRNA anticodon matches to the codon of the mRNA within the ribosome and releases its amino acids to join the growing polypeptide.
Explain (understanding),"https://openstax.org/books/biology-ap-courses/pages/31-chapter-summary?query=pulse&target=%7B%22index%22%3A0%2C%22type%22%3A%22search%22%7D#fs-idm146392688:~:text=The%20heart%20muscle,for%20blood%20pressure.",Explain what causes pulse and state the average pulse rate in humans,Each heartbeat pushes blood out of the heart and into the arteries at high pressure.  Between hearbeats the pressure is less as the heart muscle relaxes.  The force of the high pressure blood caused by each heartbeat results in the expansion of arteries.  This is known as the pulse and can be felt at points in the body where an artery is close to the surface.  The average resting pulse rate in a healthy adult is 70-80 beats per minute.,"The answer accurately explains how the pressure increases in the arteries as each heartbeat pushes out the blood and then the pressure reduces as the the heart muscle relaxes between contractions.  The answer also explains how the high pressure forces the blood through the arteries causing them to expand, which can be felt at points in the body where arteries are close to the surface.  The answer also provides the average resting pulse rate of a healthy adult as 70-80 beats per minute.",The answer explains that heartbeats causes an increase in pressure in the arteries but may not relate that to what is happening to the muscles of the heart.  The answer may or may not state that this causes high pressure in the arteries and explain what happens to the arteries and how we can detect this.  The answer states that the average resting pulse rate of a healthy adult as 70-80 beats per minute.,The answer may mention that the heart causes an increase in pressure in the arteries but does not explain why.  The answer may mention that it is possible to measure the heartbeat at certain points in the body but does not explain why.  The answer may give a good approximation of the average resting pulse rate of a healthy adult as 70-80 beats per minute.,The answer demonstrates a poor understanding of the pulse and the mechanics of the heart and its affect on arteries.  The student may or may not know the average resting pulse rate of a healthy adult as 70-80 beats per minute.,The pulse is caused by blood moving in the veins and it happens when the heart beats. The average pulse rate in humans is about 200 beats per minute.,Limited response,The answer demonstrates a poor understanding of the mechanisms of the heart and the difference between the veins and the arteries.  The answer also provides a pulse rate that is not within normal ranges.  Please refer to the relevant section of the textbook to review.
Illustrate (understanding),https://openstax.org/books/biology-ap-courses/pages/22-4-bacterial-diseases-in-humans.,Illustrate the economic importance of bacteria.,"Bacteria are economically important because they are used in food production (e.g. yogurt, cheese, brewing), Pharmaceutical and medical industry (antibiotics, hormones,) and environmental/agricultural processes (nitrogen fixation, waste treatment). However, they also cause food spoilage and diseases in humans, animals and plants, leading to economic losses.",The answer demonstrates a good understanding of a range of economic areas where bacteria are important with a good list of examples.  The answer also illustrates where bacteria can cause economic losses.,The answer lists areas where bacteria have an affect on the economy but may not include examples for each area.  The answer may or may not include how bacteria can cause economic losses.,The answer lists some areas where bacteria have an affect on the economy but only 1 or 2 areas and may or may not include examples with these areas.  The answer may or may not include how bacteria can cause economic losses. ,The answer demonstrates a poor understanding of how bacteria are used in industry and whether they make any contribution to the economy.,"Bacteria play a huge role in the economy because they are used in many industries. In agriculture, they help improve soil fertility by fixing nitrogen, which helps crops grow better. In food production, bacteria are essential for making products like yogurt, cheese, and vinegar. They are also important in medicine because they are used to produce antibiotics and vaccines. Additionally, bacteria help break down waste in sewage treatment, making the process more efficient and protecting the environment. Overall, bacteria contribute a lot to food, health, agriculture, and waste management, making them very important economically.",Competent response,"This is a good answer as you have outlined a number of areas where bacteria are important in the economy with good examples.  However, to improve this answer you should also include how bacteria can also negatively impact the economy with examples"
Apply (applying),"https://openstax.org/books/biology-ap-courses/pages/6-5-enzymes?query=enzymes%20and%20pH&target=%7B%22index%22%3A0%2C%22type%22%3A%22search%22%7D#fs-id1344546:~:text=The%20fact%20that,enzymes%20to%20denature.","Use the data below to analyze the effect of temperature on enzyme activity. Identify the optimum temperature and support your answer with evidence from the data.
Temperature (°C) – Time to complete reaction (s) – Reaction Rate (1/time)
10 °C – 120 s – 0.008
20 °C – 60 s – 0.017
30 °C – 30 s – 0.033
40 °C – 20 s – 0.050
50 °C – 35 s – 0.029
60 °C – 90 s – 0.011",The data represents an experiment where the enzyme activity is measured at temperatures that increase by 10 degrees starting from 10 celcius and continuing to 60 celcius.  The enzyme activity is measured in seconds and then the rate of reaction is calculated.  The fastest reaction was measured at 40 degrees and therefore represents the optimum temperature for this enzyme.  The reaction speeds decrease as the temperature increase due to the denaturation of enzymes at higher temperatures.,The answer accurately describes the expermimental outcomes and then uses their knowledge of enzyme activity to interpret the data and provide the optimum temperature with support from the data.  They also explain what happens to the enzyme as the temperature increases past the optimum by using their knowledge of enzyme biology,The answer may describe the experimental outcomes.  The answer identifies the optimum temperature for this enzyme activity but may or may not use the data to support the answer.  The answer may or may not continue to explain why enzyme activity decreases as the temperature increases.,The answer includes the optimum temperature and may or may not include evidence for this answer.  ,The answer demonstrates poor understanding of enzyme activity and may give the correct answer but does not provide any evidence for this answer.,"As the temperature goes up, the enzyme activity gets faster because the reaction rate increases. The fastest reaction rate happens at 40°C, which means that is the optimum temperature. After that, the reaction rate starts to go down at 50°C and 60°C. This shows that enzymes work best at 40°C and don’t work as well at higher temperatures.",Competent response,"This answer shows that you are capable of interpreting the data presented.  However, to improve your answer you should also demonstrate your knowlegdge of the biology of enzymes by explaining why the reaction rate decreased at higher temperatures."
Measure (applying),?,"Using the data below, calculate the percentage increase in heart rate from resting to post-exercise for each person.
Person A: Resting HR = 68 bpm, Post-Exercise HR = 110 bpm
Person B: Resting HR = 72 bpm, Post-Exercise HR = 130 bpm
Person C: Resting HR = 75 bpm, Post-Exercise HR = 140 bpm","Person A: resting HR=68, post HR=110.  Difference 110-68=42.  42/68x100=61.8%.   Person B: resting HR=72, post HR=130.  Difference = 130-72=58.  58/72x100=80.6%.   Person C: resting HR=75, post HR=140.  Difference = 140-75=65.  65/75x100=86.7%",The answer correctly uses the following formula to calculate the precentage increase in heart rate from resting to post-exercise for each person: Percentage increase = (post exercise HR - resting HR)/resting HR x 100.  The answer includes mathematical workings for each person with correct answer,The answer correctly uses the following formula to calculate the precentage increase in heart rate from resting to post-exercise for each person: Percentage increase = (post exercise HR - resting HR)/resting HR x 100.  Some of the answers may either be incorrect or the mathematical workings are not shown,The formula is not presented and no workings are shown.  The answers may or may not be correct,The answers are incorrect and mathematical workings may or may no be  shown.,"To find the percentage increase, just subtract the resting heart rate from the post-exercise one and that’s the answer. So for Person A it’s 110 minus 68 which is 42 percent. For Person B it’s 130 minus 72, so 58 percent. For Person C it’s 140 minus 75 which is 65 percent increase.",Limited response,This answer shows that you need to review mathematical formulae for calculation of percentage increases.  There is an effort to show your mathematical workings which is a good step.  Please review how to use percentages in calculations.
