cur_topic,cur_subtopic,textbook_subtopic_1,textbook_subtopic_2,textbook_subtopic_3,textbook_subtopic_4,textbook_subtopic_5,textbook_subtopic_6,textbook_subtopic_7,textbook_subtopic_8,textbook_subtopic_9,textbook_subtopic_10
U1 Scientific Knowledge,Scientists and scientific ideas,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U1 Scientific Knowledge,"Conducting research, evaluation of sources and bias",ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U2 Investigating in Science,Questioning for scientific investigation,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U2 Investigating in Science,Scientific hypothesis,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U2 Investigating in Science,"Design, plan and conduct investigations",ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U2 Investigating in Science,"Produce, select data. Critical analysis, observations and conclusions",ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U2 Investigating in Science,Review and reflect,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U2 Investigating in Science,Communicating Research,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U3 Science in Society,Evaluating media and science and technology,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U3 Science in Society,Scientists and their impact on society,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U4 Biological reasoning,Appreciating models,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
U4 Biological reasoning,Explaining Biological phenomena,ap_book: The Study of Life: The Science of Biology,,,,,,,,,
1.1 Characteristics of Life,Characteristics of Living things,ap_book: The Study of Life: Themes and Concepts of Biology,,,,,,,,,
1.1 Characteristics of Life,Viruses,ap_book: The Study of Life: Themes and Concepts of Biology,"ap_book: Viruses: Viral Evolution, Morphology, and Classification",ap_book: Viruses: Prevention and Treatment of Viral Infections,,,,,,,
1.1 Characteristics of Life,Domains of Life,ap_book: The Study of Life: Themes and Concepts of Biology,,,,,,,,,
1.1 Characteristics of Life,Classification of organisms,ap_book: The Study of Life: Themes and Concepts of Biology,,,,,,,,,
1.2 Chemicals of Life: Biomolecules,Biomolecules: Structure and metabolic roles,ap_book: Biological Macromolecules: Carbohydrates,ap_book: Biological Macromolecules: Lipids,ap_book: Biological Macromolecules: Proteins,,,,,,,
1.2 Chemicals of Life: Biomolecules,Minerals in Biological processes,ap_book: Animal Nutrition and the Digestive System: Nutrition and Energy Production,,,,,,,,,
1.2 Chemicals of Life: Biomolecules,Vitamins in Biological processes,ap_book: Animal Nutrition and the Digestive System: Nutrition and Energy Production,,,,,,,,,
1.2 Chemicals of Life: Biomolecules,Role of water in living organisms,ap_book: The Chemical Foundation of Life: Water,,,,,,,,,
1.2 Chemicals of Life: Biomolecules,Investigate qualitatively the presence of nutrients in a range of food samples,lab_book: Lab 3- Macromolecules in Common Food: Macromolecules in Common Food,,,,,,,,,
1.2 Chemicals of Life: Biomolecules,Investigate quantitatively the level of reducing sugars in a range of food samples,lab_book: Lab 3- Macromolecules in Common Food: Macromolecules in Common Food,,,,,,,,,
1.2 Chemicals of Life: Biomolecules,Structure and function of DNA and RNA,ap_book: DNA Structure and Function: DNA Structure and Sequencing,,,,,,,,,
1.2 Chemicals of Life: Biomolecules,"Role of ATP, NAD and NADP",ap_book: Biological Macromolecules: Nucleic Acids,ap_book: Cellular Respiration: Energy in Living Systems,,,,,,,,
1.2 Chemicals of Life: Biomolecules,"Relationship between genes, proteins and traits and the Genetic code",ap_book: DNA Structure and Function: Historical Basis of Modern Understanding,ap_book: DNA Structure and Function: Basics of DNA Replication,ap_book: DNA Structure and Function: DNA Replication in Eukaryotes,,,,,,,
1.3 Unit of Life: Cells,Complexity of multicellular organisms,ap_book: Cell Structure: Studying Cells,ap_book: Cell Structure: The Endomembrane System and Proteins,,,,,,,,
1.3 Unit of Life: Cells,Prokaryotic v Eukaryotic cells,ap_book: Cell Structure: Prokaryotic Cells,ap_book: Cell Structure: Eukaryotic Cells,,,,,,,,
1.3 Unit of Life: Cells,Investigate structures and organelles of plant and animal cells and relate to their functions using light microscope and data from electron microscope,ap_book: Cell Structure: Studying Cells,,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Structure of chromosomes and role of genes,ap_book: DNA Structure and Function: Historical Basis of Modern Understanding,ap_book: Cell Structure: Eukaryotic Cells,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Nuclear inheritance v non-nuclear inheritance,ap_book: Cell Structure: Eukaryotic Cells,,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Genetic v epigenetic mechnanims,ap_book: Gene Regulation: Eukaryotic Epigenetic Gene Regulation,ap_book: Gene Regulation: Regulation of Gene Expression,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Monohybrid and dybrid crosses,ap_book: Meiosis and Sexual Reproduction: The Process of Meiosis,ap_book: Mendel's Experiments and Heredity: Mendels Experiments and the Laws of Probability,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Incomplete Dominance,ap_book: Meiosis and Sexual Reproduction: The Process of Meiosis,ap_book: Mendel's Experiments and Heredity: Mendels Experiments and the Laws of Probability,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Mendel's Laws,ap_book: Mendel's Experiments and Heredity: Laws of Inheritance,,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Second generation inheritance with homozygous and heterozygous parents,ap_book: Mendel's Experiments and Heredity: Laws of Inheritance,,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Linked genes,ap_book: Mendel's Experiments and Heredity: Laws of Inheritance,,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Sex determination,ap_book: Animal Reproduction and Development: Reproduction Methods,,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Sex -linked Traits,ap_book: Mendel's Experiments and Heredity: Characteristics and Traits,,,,,,,,,
1.4 Information of Life: Genetic Inheritance,Benefits and limitations of Mendelian Genetics,ap_book: Modern Understandings of Inheritance: Chromosomal Theory and Genetic Linkages,ap_book: Modern Understandings of Inheritance: Chromosomal Theory and Genetic Linkages,,,,,,,,
1.5 Origins of Life: Evolution,Variations from sexual reproduction and mutations,ap_book: Meiosis and Sexual Reproduction: Sexual Reproduction,ap_book: Cell Reproduction: Control of the Cell Cycle,ap_book: Cell Reproduction: Cancer and the Cell Cycle,,,,,,,
1.5 Origins of Life: Evolution,Theory of Evolution by natural selection,ap_book: Evolution and Origin of Species: Understanding Evolution,,,,,,,,,
1.5 Origins of Life: Evolution,Importance of theory to biology and evidence for evolution by natural selection,ap_book: Evolution and Origin of Species: Formation of New Species,,,,,,,,,
2.1 Enzymes,Function and importance of enzymes in biochemical reactions,ap_book: Metabolism: Enzymes,,,,,,,,,
2.1 Enzymes,Induced Fit model,ap_book: Metabolism: Enzymes,,,,,,,,,
2.1 Enzymes,Investigate factors affecting the rate of enzyme-catalysed reactions,lab_book: Lab 7- Factors Affecting the Enzymatic Activity of Lactase: Factors Affecting the Enzymatic Activity of Lactase,,,,,,,,,
2.1 Enzymes,"Enzyme use in industry, industrial applications and immobilised enzymes",lab_book: Lab 7- Factors Affecting the Enzymatic Activity of Lactase: Factors Affecting the Enzymatic Activity of Lactase,,,,,,,,,
2.2 Cellular Processes: Photosynthesis and Respiration,Processes of aerobic/anaerobic respiration and photosynthesis,ap_book: Cellular Respiration: Energy in Living Systems,ap_book: Cellular Respiration: Glycolysis,ap_book: Cellular Respiration: Oxidation of Pyruvate and the Citric Acid Cycle,ap_book: Cellular Respiration: Oxidative Phosphorylation,ap_book: Cellular Respiration: Metabolism without Oxygen,,,,,
2.2 Cellular Processes: Photosynthesis and Respiration,Investigate factors affecting the rate of photosynthesis using primary and secondary data,lab_book: Lab 11- The Light Reaction of Photosynthesis: The Light Reaction of Photosynthesis,lab_book: Lab 12- Photosynthesis- The Dark Reactions: Photosynthesis- The Dark Reactions,,,,,,,,
2.2 Cellular Processes: Photosynthesis and Respiration,Investigate conditions necessary for fermentation using primary and secondary data,lab_book: Lab 9- Fermentation in Yeast: Fermentation in Yeast,,,,,,,,,
2.2 Cellular Processes: Photosynthesis and Respiration,Two stage process of photosynthesis and respiration - ref role of transfer molecules,ap_book: Photosynthesis: Overview of Photosynthesis,ap_book: Photosynthesis: The Light-Dependent Reaction of Photosynthesis,ap_book: Photosynthesis: Using Light to Make Organic Molecules,,,,,,,
2.2 Cellular Processes: Photosynthesis and Respiration,Significance of internal structures of mitochondria and chloroplasts in photosynthesis and respiration,,,,,,,,,,
2.3 Information of Life: Cell Division and Protein Synthesis,The cell cycle,ap_book: Cell Reproduction: The Cell Cycle,,,,,,,,,
2.3 Information of Life: Cell Division and Protein Synthesis,Mitosis v meiosis and transmitting genetic information,ap_book: Cell Reproduction: Cell Division,ap_book: Meiosis and Sexual Reproduction: The Process of Meiosis,,,,,,,,
2.3 Information of Life: Cell Division and Protein Synthesis,DNA replication and mitosis in the cell cycle,ap_book: Cell Reproduction: Cell Division,,,,,,,,,
